Month,Argentina,Brazil,Colombia,France,Germany,India,Indonesia,Iran,Italy,Mexico,Peru,Philippines,Poland,Russia,South Africa,Spain,Turkey,Ukraine,United Kingdom,United States of America
2004-01,0,0,0,0,35,44,0,0,0,100,0,0,0,100,0,53,73,0,69,75
2004-02,100,0,0,43,38,59,41,0,0,0,100,31,0,0,82,0,72,0,50,56
2004-03,0,90,0,0,48,74,0,0,0,0,0,0,0,0,100,0,0,0,81,50
2004-04,0,0,0,0,39,72,39,0,56,94,0,0,0,85,0,0,57,0,38,74
2004-05,0,0,0,0,34,24,100,0,0,0,0,66,100,0,0,87,0,0,37,46
2004-06,0,0,0,63,67,33,0,0,49,0,0,0,0,0,69,0,100,0,73,71
2004-07,0,0,0,0,69,32,0,0,0,0,0,0,0,0,0,0,0,0,81,61
2004-08,0,0,0,0,100,70,0,0,59,0,0,0,100,0,58,55,42,0,56,79
2004-09,0,0,0,29,0,60,30,0,0,0,0,44,0,0,58,0,0,0,66,77
2004-10,0,0,0,0,32,11,0,0,0,0,0,25,0,0,0,41,0,0,46,45
2004-11,0,100,0,0,94,12,40,66,43,0,0,0,0,66,0,0,38,0,45,72
2004-12,0,0,0,100,29,38,0,0,40,0,0,56,0,0,0,39,0,0,63,41
2005-01,0,0,0,0,24,73,0,0,0,54,0,41,0,0,0,33,27,0,71,60
2005-02,0,0,0,23,80,38,30,0,0,0,0,43,53,58,49,34,26,0,50,71
2005-03,0,36,0,0,24,72,0,0,31,48,38,0,46,46,0,30,39,0,38,63
2005-04,0,0,0,0,26,19,0,100,34,0,0,0,51,0,0,0,0,0,42,53
2005-05,38,0,0,0,24,80,66,0,0,0,0,47,0,0,0,57,0,0,34,50
2005-06,0,0,100,54,45,74,22,0,0,0,0,19,44,0,0,29,19,0,31,63
2005-07,0,0,0,20,45,77,0,0,0,0,0,0,0,0,0,0,0,0,59,66
2005-08,0,0,0,0,66,77,0,36,0,40,0,0,0,0,0,69,0,0,35,61
2005-09,0,27,0,0,42,100,0,0,26,0,0,0,0,43,0,26,15,0,49,59
2005-10,0,0,0,0,60,46,0,34,50,0,0,0,36,0,30,72,25,0,70,90
2005-11,0,0,78,15,19,62,22,33,0,0,0,0,68,0,33,0,0,0,36,46
2005-12,0,0,0,14,0,79,0,29,0,39,0,0,64,33,0,24,10,0,32,41
2006-01,33,0,0,24,47,45,0,0,0,0,0,40,0,0,59,0,0,0,47,67
2006-02,0,0,0,13,33,46,18,0,0,0,0,0,0,33,0,21,9,0,48,44
2006-03,0,0,0,11,71,74,15,0,0,0,0,0,49,0,0,18,0,0,47,69
2006-04,0,0,0,0,32,51,0,0,41,0,0,0,0,0,0,20,8,0,51,63
2006-05,0,0,0,11,15,55,0,0,18,0,0,30,0,0,22,17,0,0,37,55
2006-06,0,0,0,21,15,54,0,0,37,0,21,0,27,0,0,18,14,0,38,57
2006-07,0,0,0,12,88,56,0,27,20,28,0,11,29,0,22,0,14,0,33,42
2006-08,0,32,0,22,53,54,0,51,0,0,0,0,0,0,19,0,13,0,30,49
2006-09,20,16,0,19,54,36,0,0,100,0,0,22,46,0,21,17,6,0,39,52
2006-10,0,0,0,17,49,46,27,23,15,0,0,0,41,0,0,15,0,0,56,59
2006-11,0,0,0,25,46,53,21,20,45,20,0,10,19,0,19,14,10,0,48,53
2006-12,20,15,0,8,12,66,0,0,16,0,19,23,19,0,0,0,14,0,39,55
2007-01,0,27,0,7,29,38,10,19,51,0,0,0,48,0,17,13,4,0,48,54
2007-02,0,0,0,0,75,35,0,0,0,37,0,0,68,32,0,14,9,0,49,67
2007-03,0,11,32,40,29,52,9,20,23,16,17,0,75,0,0,37,18,100,45,56
2007-04,15,11,0,28,85,40,24,0,13,18,17,0,0,0,0,0,0,0,37,58
2007-05,0,19,0,30,27,41,7,27,10,0,14,16,41,12,25,11,6,0,47,59
2007-06,0,0,0,6,64,45,7,0,32,0,0,28,15,13,14,46,3,0,40,52
2007-07,12,19,0,13,27,48,20,26,22,0,14,0,0,0,12,12,16,0,31,45
2007-08,23,8,0,7,18,50,6,14,13,25,13,18,30,0,11,0,3,0,35,65
